Date,Spends,Check
2023-11-01,5613.00,
2023-12-01,15413.40,
2024-01-01,12189.00,
2024-03-01,4491.00,
2024-05-01,4560.00,
2024-06-01,12879.60,
2024-07-01,22020.00,
