Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-02-18,,Intérêts & KW - NL,0.00,4,0,
2024-02-19,,Intérêts & KW - NL,0.00,2,0,
2024-02-22,,Intérêts & KW - NL,0.00,1,0,
2024-02-24,,Intérêts & KW - NL,0.00,1,0,
2024-02-25,,Intérêts & KW - NL,0.00,1,0,
2024-02-26,,Intérêts & KW - NL,0.00,2,0,
2024-02-28,,Intérêts & KW - NL,0.00,7,0,
2024-02-29,,Intérêts & KW - NL,0.00,1,0,
2024-03-01,,Intérêts & KW - NL,0.00,2,0,
2024-03-03,,Intérêts & KW - NL,0.00,1,0,
2024-03-05,,Intérêts & KW - NL,0.00,2,0,
2024-03-06,,Intérêts & KW - NL,0.00,1,0,
2024-03-07,,Intérêts & KW - NL,0.00,2,0,
2024-03-08,,Intérêts & KW - NL,0.00,1,0,
2024-03-13,,Intérêts & KW - NL,0.00,1,0,
2024-03-14,,Intérêts & KW - NL,0.00,1,0,
2024-03-15,,Intérêts & KW - NL,0.00,2,0,
2024-03-16,,Intérêts & KW - NL,0.00,3,0,
2024-03-17,,Intérêts & KW - NL,0.00,2,0,
2024-03-18,,Intérêts & KW - NL,0.00,3,0,
2024-03-19,,Intérêts & KW - NL,0.00,3,0,
2024-03-20,,Intérêts & KW - NL,0.00,1,0,
2024-03-22,,Intérêts & KW - NL,0.00,1,0,
2024-03-24,,Intérêts & KW - NL,0.00,1,0,
2024-03-25,,Intérêts & KW - NL,0.00,1,0,
2024-03-27,,Intérêts & KW - NL,0.00,1,0,
2024-03-28,,Intérêts & KW - NL,0.00,2,0,
2024-03-29,,Intérêts & KW - NL,0.00,1,0,
2024-03-30,,Intérêts & KW - NL,0.00,1,0,
2024-03-31,,Intérêts & KW - NL,0.00,1,0,
2024-04-05,,Intérêts & KW - NL,0.00,1,0,
2024-04-06,,Intérêts & KW - NL,0.00,3,0,
2024-04-08,,Intérêts & KW - NL,0.00,1,0,
2024-04-09,,Intérêts & KW - NL,0.00,5,0,
