CHANNEL,Date,Sends,Spends,Operating system,Check
PUSH NOTIF,2023-10-31,4436,0.00,IOS,
PUSH NOTIF,2023-11-03,4445,0.00,IOS,
PUSH NOTIF,2023-11-07,4488,0.00,IOS,
PUSH NOTIF,2023-11-16,4486,0.00,IOS,
PUSH NOTIF,2023-11-23,4588,0.00,IOS,
PUSH NOTIF,2023-11-24,4597,0.00,IOS,
PUSH NOTIF,2023-11-27,4625,0.00,IOS,
PUSH NOTIF,2023-12-01,291,0.00,IOS,
PUSH NOTIF,2023-12-01,4663,0.00,IOS,
PUSH NOTIF,2023-12-08,1587,0.00,IOS,
PUSH NOTIF,2023-12-13,4768,0.00,IOS,
PUSH NOTIF,2023-12-22,4886,0.00,IOS,
PUSH NOTIF,2024-01-03,4989,0.00,IOS,
PUSH NOTIF,2024-01-08,5081,0.00,IOS,
PUSH NOTIF,2024-01-13,122,0.00,IOS,
PUSH NOTIF,2024-01-17,5208,0.00,IOS,
PUSH NOTIF,2024-01-19,132,0.00,IOS,
PUSH NOTIF,2024-01-29,5345,0.00,IOS,
PUSH NOTIF,2024-01-30,360,0.00,IOS,
PUSH NOTIF,2024-01-31,5325,0.00,IOS,
PUSH NOTIF,2024-02-10,5478,0.00,IOS,
PUSH NOTIF,2024-02-14,302,0.00,IOS,
PUSH NOTIF,2024-02-15,5503,0.00,IOS,
PUSH NOTIF,2024-02-23,5547,0.00,IOS,
PUSH NOTIF,2024-02-28,3543,0.00,IOS,
PUSH NOTIF,2024-03-10,17,0.00,IOS,
PUSH NOTIF,2024-03-13,343,0.00,IOS,
PUSH NOTIF,2024-03-14,221,0.00,IOS,
PUSH NOTIF,2024-03-16,221,0.00,IOS,
PUSH NOTIF,2024-03-18,5777,0.00,IOS,
PUSH NOTIF,2024-03-19,5783,0.00,IOS,
PUSH NOTIF,2024-03-22,5822,0.00,IOS,
PUSH NOTIF,2024-03-29,400,0.00,IOS,
PUSH NOTIF,2024-04-06,5991,0.00,IOS,
PUSH NOTIF,2024-04-09,92,0.00,IOS,
PUSH NOTIF,2024-04-11,413,0.00,IOS,
PUSH NOTIF,2024-04-12,6020,0.00,IOS,
PUSH NOTIF,2024-04-17,4934,0.00,IOS,
PUSH NOTIF,2024-04-17,93,0.00,IOS,
PUSH NOTIF,2024-04-18,4850,0.00,IOS,
PUSH NOTIF,2024-04-26,92,0.00,IOS,
PUSH NOTIF,2024-04-27,412,0.00,IOS,
PUSH NOTIF,2024-04-28,6041,0.00,IOS,
PUSH NOTIF,2024-05-03,6031,0.00,IOS,
PUSH NOTIF,2024-05-05,90,0.00,IOS,
PUSH NOTIF,2024-05-10,177,0.00,IOS,
PUSH NOTIF,2024-05-16,6112,0.00,IOS,
PUSH NOTIF,2024-05-29,6151,0.00,IOS,
PUSH NOTIF,2024-05-31,6162,0.00,IOS,
PUSH NOTIF,2024-06-03,537,0.00,IOS,
PUSH NOTIF,2024-06-06,6205,0.00,IOS,
PUSH NOTIF,2024-06-07,6211,0.00,IOS,
PUSH NOTIF,2024-06-10,946,0.00,IOS,
PUSH NOTIF,2024-06-10,5311,0.00,IOS,
PUSH NOTIF,2024-06-14,75,0.00,IOS,
PUSH NOTIF,2024-06-15,6321,0.00,IOS,
PUSH NOTIF,2024-06-17,990,0.00,IOS,
PUSH NOTIF,2024-06-17,5328,0.00,IOS,
PUSH NOTIF,2024-06-18,6318,0.00,IOS,
PUSH NOTIF,2024-06-20,3531,0.00,IOS,
PUSH NOTIF,2024-06-24,6408,0.00,IOS,
PUSH NOTIF,2024-06-25,6427,0.00,IOS,
PUSH NOTIF,2024-06-27,6460,0.00,IOS,
PUSH NOTIF,2024-06-28,498,0.00,IOS,
PUSH NOTIF,2024-06-29,6497,0.00,IOS,
PUSH NOTIF,2024-06-30,6575,0.00,IOS,
