Date,Campaign name,adset name (optional),Spends,Impressions,clicks,Check
2023-12-01,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,235.93,60029,61,
2023-12-01,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,136.66,37583,43,
2023-12-01,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,34.77,5748,5,
2023-12-02,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,213.21,56152,53,
2023-12-02,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,163.60,48854,44,
2023-12-02,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,30.48,5289,2,
2023-12-03,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,220.18,62157,63,
2023-12-03,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,156.18,45704,55,
2023-12-03,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,30.71,5686,1,
2023-12-04,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,230.58,52968,46,
2023-12-04,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,207.81,52505,53,
2023-12-04,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,47.99,8038,2,
2023-12-05,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,210.81,47124,49,
2023-12-05,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,217.86,54866,44,
2023-12-05,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,41.89,6854,4,
2023-12-06,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,151.76,36033,29,
