Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-06-03,,Intérêts & KW - FR,0.00,15,0,
2024-06-04,,Intérêts & KW - FR,0.00,3,0,
2024-06-05,,Intérêts & KW - FR,0.00,7,0,
2024-06-06,,Intérêts & KW - FR,0.00,5,0,
2024-06-07,,Intérêts & KW - FR,0.00,1,0,
2024-06-08,,Intérêts & KW - FR,0.00,6,0,
2024-06-09,,Intérêts & KW - FR,0.00,3,0,
2024-06-10,,Intérêts & KW - FR,0.00,6,0,
2024-06-13,,Intérêts & KW - FR,0.00,2,0,
2024-06-17,,Intérêts & KW - FR,0.00,3,0,
2024-06-18,,Intérêts & KW - FR,0.00,1,0,
2024-06-19,,Intérêts & KW - FR,0.00,1,0,
2024-06-22,,Intérêts & KW - FR,0.00,1,0,
2024-06-24,,Intérêts & KW - FR,0.00,2,0,
2024-06-25,,Intérêts & KW - FR,0.00,8,2,
2024-06-26,,Intérêts & KW - FR,0.00,6,0,
2024-06-27,,Intérêts & KW - FR,0.00,6,0,
2024-06-28,,Intérêts & KW - FR,0.00,11,4,
2024-06-30,,Intérêts & KW - FR,0.00,5,0,
2023-10-01,,Interest & KW - FR,0.00,2,0,
2023-10-02,,Interest & KW - FR,0.00,3,0,
2023-10-03,,Interest & KW - FR,0.00,7,0,
2023-10-04,,Interest & KW - FR,0.00,1,0,
2023-10-05,,Interest & KW - FR,0.00,1,0,
2023-10-06,,Interest & KW - FR,0.00,5,0,
2023-10-07,,Interest & KW - FR,0.00,2,0,
2023-10-08,,Interest & KW - FR,0.00,2,0,
2023-10-09,,Interest & KW - FR,0.00,11,1,
2023-10-10,,Interest & KW - FR,0.00,5,0,
2023-10-11,,Interest & KW - FR,0.00,6,0,
2023-10-12,,Interest & KW - FR,0.00,8,0,
2023-10-13,,Interest & KW - FR,0.00,6,0,
2023-10-14,,Interest & KW - FR,0.00,4,0,
2023-10-15,,Interest & KW - FR,0.00,3,0,
2023-10-16,,Interest & KW - FR,0.00,5,0,
2023-10-17,,Interest & KW - FR,0.00,4,0,
2023-10-18,,Interest & KW - FR,0.00,1,0,
2023-10-19,,Interest & KW - FR,0.00,2,0,
2023-10-20,,Interest & KW - FR,0.00,3,0,
2023-10-21,,Interest & KW - FR,0.00,1,0,
2023-10-22,,Interest & KW - FR,0.00,6,0,
2023-10-23,,Interest & KW - FR,0.00,11,1,
2023-10-24,,Interest & KW - FR,0.00,4,0,
2023-10-25,,Interest & KW - FR,0.00,3,0,
2023-10-26,,Interest & KW - FR,0.00,2,0,
2023-10-27,,Interest & KW - FR,0.00,7,0,
2023-10-28,,Interest & KW - FR,0.00,1,0,
2023-10-30,,Interest & KW - FR,0.00,6,0,
2023-10-31,,Interest & KW - FR,0.00,2,0,
2023-11-01,,Interest & KW - FR,0.00,2,0,
2023-11-02,,Interest & KW - FR,0.00,4,0,
2023-11-03,,Interest & KW - FR,0.00,3,0,
2023-11-04,,Interest & KW - FR,0.00,5,0,
2023-11-05,,Interest & KW - FR,0.00,8,0,
2023-11-06,,Interest & KW - FR,0.00,6,0,
2023-11-07,,Interest & KW - FR,0.00,6,0,
2023-11-08,,Interest & KW - FR,0.00,7,0,
2023-11-09,,Interest & KW - FR,0.00,6,0,
2023-11-10,,Interest & KW - FR,0.00,7,0,
2023-11-12,,Interest & KW - FR,0.00,3,0,
2023-11-13,,Interest & KW - FR,0.00,4,0,
2023-11-14,,Interest & KW - FR,0.00,5,0,
2023-11-15,,Interest & KW - FR,0.00,4,0,
2023-11-16,,Interest & KW - FR,0.00,3,0,
2023-11-17,,Interest & KW - FR,0.00,3,0,
2023-11-18,,Interest & KW - FR,0.00,3,0,
2023-11-19,,Interest & KW - FR,0.00,8,0,
2023-11-20,,Interest & KW - FR,0.00,6,0,
2023-11-21,,Interest & KW - FR,0.00,3,0,
2023-11-22,,Interest & KW - FR,0.00,7,0,
2023-11-23,,Interest & KW - FR,0.00,3,0,
2023-11-24,,Interest & KW - FR,0.00,3,0,
2023-11-25,,Interest & KW - FR,0.00,6,0,
2023-11-26,,Interest & KW - FR,0.00,4,0,
2023-11-27,,Interest & KW - FR,0.00,4,0,
2023-11-28,,Interest & KW - FR,0.00,1,0,
2023-11-29,,Interest & KW - FR,0.00,2,0,
2023-11-30,,Interest & KW - FR,0.00,5,0,
2023-12-01,,Interest & KW - FR,0.00,3,0,
2023-12-02,,Interest & KW - FR,0.00,2,0,
2023-12-03,,Interest & KW - FR,0.00,7,2,
2023-12-04,,Interest & KW - FR,0.00,6,0,
2023-12-05,,Interest & KW - FR,0.00,5,0,
2023-12-06,,Interest & KW - FR,0.00,8,3,
2023-12-07,,Interest & KW - FR,0.00,3,0,
2023-12-08,,Interest & KW - FR,0.00,3,0,
2023-12-09,,Interest & KW - FR,0.00,13,3,
2023-12-10,,Interest & KW - FR,0.00,3,2,
2023-12-11,,Interest & KW - FR,0.00,7,0,
2023-12-12,,Interest & KW - FR,0.00,5,0,
2023-12-13,,Interest & KW - FR,0.00,11,2,
2023-12-14,,Interest & KW - FR,0.00,15,3,
2023-12-15,,Interest & KW - FR,0.00,6,0,
2023-12-16,,Interest & KW - FR,0.00,1,0,
2023-12-17,,Interest & KW - FR,0.00,8,0,
2023-12-18,,Interest & KW - FR,0.00,9,0,
2023-12-19,,Interest & KW - FR,0.00,16,2,
2023-12-20,,Interest & KW - FR,0.00,4,0,
2023-12-21,,Interest & KW - FR,0.00,10,0,
2023-12-22,,Interest & KW - FR,0.00,9,0,
2023-12-23,,Interest & KW - FR,0.00,5,0,
2023-12-24,,Interest & KW - FR,0.00,14,4,
2023-12-25,,Interest & KW - FR,0.00,17,0,
2023-12-26,,Interest & KW - FR,0.00,15,0,
2023-12-27,,Interest & KW - FR,0.00,6,0,
2023-12-28,,Interest & KW - FR,0.00,4,0,
2023-12-29,,Interest & KW - FR,0.00,18,0,
2023-12-30,,Interest & KW - FR,0.00,13,3,
2023-12-31,,Interest & KW - FR,0.00,9,0,
2024-01-01,,Interest & KW - FR,0.00,16,4,
2024-01-02,,Interest & KW - FR,0.00,12,0,
2024-01-03,,Interest & KW - FR,0.00,15,0,
2024-01-04,,Interest & KW - FR,0.00,13,0,
2024-01-05,,Interest & KW - FR,0.00,13,2,
2024-01-06,,Interest & KW - FR,0.00,6,0,
2024-01-07,,Interest & KW - FR,0.00,5,0,
2024-01-08,,Interest & KW - FR,0.00,10,0,
2024-01-09,,Interest & KW - FR,0.00,9,0,
2024-01-10,,Interest & KW - FR,0.00,16,0,
2024-01-11,,Interest & KW - FR,0.00,7,0,
2024-01-12,,Interest & KW - FR,0.00,10,0,
2024-01-13,,Interest & KW - FR,0.00,6,0,
2024-01-14,,Interest & KW - FR,0.00,12,1,
2024-01-15,,Interest & KW - FR,0.00,14,0,
